รหัสสินค้า,ชื่อสินค้า,ราคา,ขาย,ชื่อร้านค้า,อัตราค่าคอมมิชชัน,คอมมิชชัน,ลิงก์สินค้า,ลิงก์ข้อเสนอ
23624785285,Alsoff Ethyl Alcohol 70% 450 ml. แอลซอฟฟ์ แอลกอฮอล์ 70% 450 มล.,฿40.00,6.9พัน,trm_maskshop,101.5%,฿40.60,https://shopee.co.th/product/388007409/23624785285,https://s.shopee.co.th/7Kg3VmdH0Q
7979475144,Medtect หน้ากากอนามัยคาร์บอนแท้ 100% กรอง 6 ชั้น รุ่น TFS-150,฿12.00,1.5พัน,trm_maskshop,101.5%,฿12.18,https://shopee.co.th/product/388007409/7979475144,https://s.shopee.co.th/7UzTi5cdfT
9915785971,Medtect หน้ากากอนามัยทางการแพทย์กรอง 3 ชั้น,฿89.00,564,trm_maskshop,101.5%,฿90.34,https://shopee.co.th/product/388007409/9915785971,https://s.shopee.co.th/5fXpWijcO8
8429901545,หมวกคลุมผม หมวกตัวหนอน (แพ็ค 50 ชิ้น),฿75.00,1.6พัน,trm_maskshop,101.5%,฿76.13,https://shopee.co.th/product/388007409/8429901545,https://s.shopee.co.th/5prFj1iz3B
16411114805,หน้ากากอนามัย 3 ชั้น สีดำ,฿99.00,9,trm_maskshop,101.5%,฿100.49,https://shopee.co.th/product/388007409/16411114805,https://s.shopee.co.th/5Kuz86kt46
9815640941,Medtect หน้ากากอนามัยคาร์บอน 4 ชั้น,฿200.00,48,trm_maskshop,101.5%,฿203.00,https://shopee.co.th/product/388007409/9815640941,https://s.shopee.co.th/5VEPKPkFj9
16123971399,Medtect หน้ากากอนามัยทางการแพทย์กรอง 3 ชั้น คละสี 5 สี,฿95.00,56,trm_maskshop,101.5%,฿96.43,https://shopee.co.th/product/388007409/16123971399,https://s.shopee.co.th/6KnWJwh52K
9515822040,Namo หน้ากากอนามัยทางการแพทย์กรอง 3 ชั้น,฿120.00,62,trm_maskshop,101.5%,฿121.80,https://shopee.co.th/product/388007409/9515822040,https://s.shopee.co.th/6V6wWFgRhN
8715827891,หน้ากากอนามัยคาร์บอนแท้ 100%,฿7.00,30,trm_maskshop,101.5%,฿7.11,https://shopee.co.th/product/388007409/8715827891,https://s.shopee.co.th/60AfvKiLiI
8331481673,ผ้าปิด Cotton หรือ ผ้าปิดจมูกTC,฿29.00,0,trm_maskshop,101.5%,฿29.44,https://shopee.co.th/product/388007409/8331481673,https://s.shopee.co.th/6AU67dhiNL
7996181127,MSAFE ผ้าปิดจมูกทางการแพทย์ ชนิดกรอง 3 ชั้น,฿89.00,17,trm_maskshop,101.5%,฿90.34,https://shopee.co.th/product/388007409/7996181127,https://s.shopee.co.th/9f3yI4UOH2
3596232798,หมวกคลุมผมตัวหนอนหลากสี,฿85.00,91,trm_maskshop,101.5%,฿86.28,https://shopee.co.th/product/388007409/3596232798,https://s.shopee.co.th/9pNOUNTkw5
