รหัสสินค้า,ชื่อสินค้า,ราคา,ขาย,ชื่อร้านค้า,อัตราค่าคอมมิชชัน,คอมมิชชัน,ลิงก์สินค้า,ลิงก์ข้อเสนอ
27904402155,LEMO(2kg)อาหารแมว Grain Free มีเนื้อถึง 92% โปรตีน 40%  สำหรับแมวทุกช่ว การอบอาหารแมว,฿647.00,22,LEMO Official Store.th,61.75%,฿399.52,https://shopee.co.th/product/1275704036/27904402155,https://s.shopee.co.th/7KgRqQIUNq
29712783552,LEMO (2kg) อาหารแมว Grain Free มีเนื้อถึง 92% โปรตีน 40%  สำหรับแมวทุกช่ว,฿647.00,5,LEMO Official Store.th,61.75%,฿399.52,https://shopee.co.th/product/1275704036/29712783552,https://s.shopee.co.th/7Uzs2jHr2t
26454494935,LEMO อาหารแมวกระป๋อง 12 กระป๋อง กระป๋องอาหารเปียกซุปราคาเต็ม อาหารหลักปลอดธัญพืชกระป๋อง,"฿1,259.00",0,LEMO Official Store.th,61.75%,฿777.43,https://shopee.co.th/product/1275704036/26454494935,https://s.shopee.co.th/8KYz2GEgM4
26104500602,LEMO อาหารแมวกระป๋อง 24 กระป๋อง กระป๋องอาหารเปียกซุปราคาเต็ม อาหารหลักปลอดธัญพืชกระป๋อง,"฿2,399.00",0,LEMO Official Store.th,61.75%,"฿1,481.38",https://shopee.co.th/product/1275704036/26104500602,https://s.shopee.co.th/8UsPEZE317
28904494874,LEMO อาหารแมวกระป๋อง 6 กระป๋อง กระป๋องอาหารเปียกซุปราคาเต็ม อาหารหลักปลอดธัญพืชกระป๋อง,฿669.00,1,LEMO Official Store.th,61.75%,฿413.11,https://shopee.co.th/product/1275704036/28904494874,https://s.shopee.co.th/7zw8deFx22
1160188064,ผลิตภัณฑ์ทดแทนมื้ออาหาร Mutera ทดแทนอาหาร (แถมแก้วปั่นฟรี),"฿1,350.00",0,SD.Shop,61.75%,฿833.63,https://shopee.co.th/product/69624120/1160188064,https://s.shopee.co.th/8AFYpxFJh5
23187347230,Dried Papaya Leaf ใบมะละกออบแห้ง 30กรัม อาหารและขนมเพื่อสุขภาพสำหรับกระต่าย สัตว์ฟันแทะทุกชนิด,฿79.00,18,CHABrown Rabbit Food,52.75%,฿41.67,https://shopee.co.th/product/221342035/23187347230,https://s.shopee.co.th/8zofpUC90G
26615783069, Vigorous Hat Baseball Cap San Fu IP Accessories Peaked Cap Easy to Match Sun Shade Kitty Sanrio Baseball Cap Cute QTPI,฿155.00,2,TENVI Officials Shop,51.75%,฿80.21,https://shopee.co.th/product/1254693301/26615783069,https://s.shopee.co.th/9A861nBVfJ
29415795355,Universal Studios Hat Cute Same Style Dragon Master Cartoon Toothless Doll Beret Advance Hats Face-Looking Small Beijing QUJ8,฿228.00,0,TENVI Officials Shop,51.75%,฿117.99,https://shopee.co.th/product/1254693301/29415795355,https://s.shopee.co.th/8fBpQsDPgE
28515785222,2024Face-Looking Little Wild Peaked Cap Soft Top Retro Women's New Hat Spring and Autumn Baseball Cap American Dopamine 6ZCK,฿119.00,0,TENVI Officials Shop,51.75%,฿61.58,https://shopee.co.th/product/1254693301/28515785222,https://s.shopee.co.th/8pVFdBCmLH
28119856814, Luminous Tiger Warm and Cute Headgear Ear Children Hamster Hat Adult Student New Style Moving Net Red Autumn and Winter QJNT,฿193.00,0,TENVI Officials Shop,51.75%,฿99.88,https://shopee.co.th/product/1254693301/28119856814,https://s.shopee.co.th/9f4Mci9beS
27715783050, Cute Animal Dress up Winter Blue Pink Headgear Creative Mouse Girl Heart Plush Photo Props Warm Hat UOXJ,฿264.00,0,TENVI Officials Shop,51.75%,฿136.62,https://shopee.co.th/product/1254693301/27715783050,https://s.shopee.co.th/9pNmp18yJV
27665790206, Hat High-Profile Figure Korean Style Women's Fashion All-Matching Women's Beret British Fashion Retro Octagonal Hat Autumn Winter Peaked Cap SWLI,฿155.00,0,TENVI Officials Shop,51.75%,฿80.21,https://shopee.co.th/product/1254693301/27665790206,https://s.shopee.co.th/9KRWE6AsKQ
27215795187, Toque Hat Autumn and Winter Female Cute Earmuffs Hat Furry Little Monster Funny Ugly and Cute Warm Thickened Fleece BNTU,฿246.00,0,TENVI Officials Shop,51.75%,฿127.31,https://shopee.co.th/product/1254693301/27215795187,https://s.shopee.co.th/9UkwQPAEzT
26465785750, Thin Cute Embroidered Spring and Summer ins Letter Student Fresh Double-Sided Big Head Circumference Painter Cap Japanese Women ITEX,฿155.00,0,TENVI Officials Shop,51.75%,฿80.21,https://shopee.co.th/product/1254693301/26465785750,https://s.shopee.co.th/AKK3Pw74Ie
26015928933, New Yy Duck Tongue Imitation Fur Thickening Embroidery Warm Corduroy Autumn and Winter Letter Ears Protection Baseball Cap Plush ZYWC,฿291.00,0,TENVI Officials Shop,51.75%,฿150.59,https://shopee.co.th/product/1254693301/26015928933,https://s.shopee.co.th/AUdTcF6Qxh
24487701299, Hat Western Style Dins Women's Winter Korean Style Letter Baseball Cap Stick-on Crystals Cold-Proof Korean Peaked Cap Warm Wide Brim OHMM,฿155.00,0,TENVI Officials Shop,51.75%,฿80.21,https://shopee.co.th/product/1254693301/24487701299,https://s.shopee.co.th/9zhD1K8Kyc
24087710165,Bucket Hat Bucket Hat Small Brim Summer Sun-Proof Fashion Double-Sided Wear All-Matching Japanese Style New Double-Sided Wear Men's Hat Children H7M5,฿301.00,0,TENVI Officials Shop,51.75%,฿155.77,https://shopee.co.th/product/1254693301/24087710165,https://s.shopee.co.th/AA0dDd7hdf
