รหัสสินค้า,ชื่อสินค้า,ราคา,ขาย,ชื่อร้านค้า,อัตราค่าคอมมิชชัน,คอมมิชชัน,ลิงก์สินค้า,ลิงก์ข้อเสนอ
22557388862,โปรจับคู่ลดไซส์ไว X2 Set 1 เดือน⚡️ของแท้•ส่งฟรี⚡️Aki Bacto B แบคโตะ บี จุลินทรีย์คนผอม คaki24 Aki plus,"฿3,000.00",97,Aki.official,51.5%,"฿1,545.00",https://shopee.co.th/product/992767198/22557388862,https://s.shopee.co.th/9A7hi5m7Q9
29502176353,Nutra Liv 1 กล่อง ผลิตภัณฑ์วิตามินบำรุงตับ สารสกัดที่ช่วยฟื้นฟูการทำงานของตับและลดไขมันสะสม,฿499.00,197,Aki.official,51.5%,฿256.99,https://shopee.co.th/product/992767198/29502176353,https://s.shopee.co.th/8fBR7Ao1R4
29906540940,Nutra Liv+bacto B เซ็ต 1 เดือน (bacto B 3 กล่อง + liv 3 กล่อง) โปรลีนหุ่น ตับสุขภาพดี,"฿1,850.00",11,Aki.official,51.5%,฿952.75,https://shopee.co.th/product/992767198/29906540940,https://s.shopee.co.th/8pUrJTnO67
27102176665,Nutra Liv+Aki24 อย่างละ 1 กล่อง โปรลีนหุ่น ตับสุขภาพดี,"฿1,289.00",67,Aki.official,51.5%,฿663.84,https://shopee.co.th/product/992767198/27102176665,https://s.shopee.co.th/8KYaiYpI72
23805995252,1แถม1โรสสเต็มเซลล์รกกุหลาบ🌹สกัดในเม็ดซอฟเจล กระตุ้นลึกถึงชั้นโครโมโซม Rose Stem Cell ย้อนวัย สู่ความอ่อนเยาว์ ใน 14 วัน,฿295.00,66,สกินแคร์ Byพีช,51.5%,฿151.93,https://shopee.co.th/product/38275852/23805995252,https://s.shopee.co.th/8Us0uroem5
24928523894,Nutra Liv ผลิตภัณฑ์วิตามินบำรุงตับ สารสกัดที่ช่วยฟื้นฟูการทำงานของตับและลดไขมันสะสม,"฿1,300.00",89,Aki.official,51.5%,฿669.50,https://shopee.co.th/product/992767198/24928523894,https://s.shopee.co.th/7zvkJwqYn0
29956522881,Nutra Liv+Aki24 เซ็ต 1 เดือน (aki 2 กล่อง + liv 3 กล่อง) โปรลีนหุ่น ตับสุขภาพดี,"฿2,760.00",46,Aki.official,51.5%,"฿1,421.40",https://shopee.co.th/product/992767198/29956522881,https://s.shopee.co.th/8AFAWFpvS3
27654990391,Nutra Liv+Aki24+Bacto B อย่างละ 1 กล่อง โปรลีนหุ่น ตับสุขภาพดี,"฿1,850.00",23,Aki.official,51.5%,฿952.75,https://shopee.co.th/product/992767198/27654990391,https://s.shopee.co.th/AKJf6Ehg3U
22362071955,⚡️ของแท้•ส่งฟรี⚡️Aki Bacto B แบคโตะ บี จุลินทรีย์คนผอม คaki24 Aki plus,"฿1,140.00",62,Aki.official,51.5%,฿587.10,https://shopee.co.th/product/992767198/22362071955,https://s.shopee.co.th/AUd5IXh2iX
24156846700,"Aki 24(อะกิ24,อะกิพลัส) วิตามินลดอ้วน 3 เซ็ต 90 วัน ของแแท้","฿3,950.00",4,Aki.official,51.5%,"฿2,034.25",https://shopee.co.th/product/992767198/24156846700,https://s.shopee.co.th/9zgohciwjS
25414578471,M2M อาหารเสริมผู้ชาย รูปแบบเม็ดเคี้ยว รสช็อกโกแลต สำหรับท่านชาย,฿290.00,111,bioticonfactory,51.5%,฿149.35,https://shopee.co.th/product/1062371696/25414578471,https://s.shopee.co.th/AA0EtviJOV
24634651557,🍧 กลูต้าออยลี่ [ กดในไลฟ์ลด50%] Aoily แพ็คเกจใหม่ล่าสุด ของแท้100%,฿290.00,0,MENU SHOP,46.5%,฿134.85,https://shopee.co.th/product/1210500661/24634651557,https://s.shopee.co.th/9f3yJ0kDPQ
19485386718,Five Doctors 10 Probiotics Dietary Fiber Solid Beverages  โพรไบโอติก 10 สายพันธุ์ มีใยอาหาร ขนาด 5 กรัม x 7 ซอง,฿199.00,125,fivedoctors.th,46.5%,฿92.54,https://shopee.co.th/product/1090679190/19485386718,https://s.shopee.co.th/9pNOVJja4T
29207644516,💖COMO โคโมะคอลลาเจนกลูต้าวิตามินชงดืม วิตมินผิวขาวใส ลดสิวฝ้า🧸{กดในไลฟ์ ลด 100.-},฿390.00,0,MENU SHOP,42.5%,฿165.75,https://shopee.co.th/product/1210500661/29207644516,https://s.shopee.co.th/9KR7uOlU5O
14648678690,ไลฟ์ ซิงค์ พลัส วิตามินซี Life Zinc Plus Vitaminc วิตามินบำรุงผม [LLAAD-A],฿209.00,66.6พัน, Life Supplements,41.5%,฿86.74,https://shopee.co.th/product/87657200/14648678690,https://s.shopee.co.th/9UkY6hkqkR
6976604925,Boostuplife อะเซโรล่าเชอร์รี่ พลัส วิตามินซี Acerola Cherry Plus Vitaminc วิตามินซี [BBAAB-A],฿209.00,49.7พัน, Life Supplements,41.5%,฿86.74,https://shopee.co.th/product/87657200/6976604925,https://s.shopee.co.th/6KnWKswuAq
5409729158,[พิเศษ 3​ กระปุก ]​ MEDITA​ ZINC​ GLUCONATE 75​ mg​ ผลิตภัณฑ์เสริมอาหารเมดิต้า ซิงค์ 21 แคปซูล,฿212.00,12.5พัน,Medita Official,41.5%,฿87.98,https://shopee.co.th/product/175143402/5409729158,https://s.shopee.co.th/6V6wXBwGpt
20745775789,ไลฟ์ แอล กลูต้า พลัส คอลลาเจน Life L Gluta Plus Collagen Dipeptide [LLAAI-A],฿209.00,13.8พัน, Life Supplements,41.5%,฿86.74,https://shopee.co.th/product/87657200/20745775789,https://s.shopee.co.th/60AfwGyAqo
19445064776,ไลฟ์ ซิงค์ พลัส วิตามินซี Life Zinc Plus Vitaminc วิตามินบำรุงผม ชุด 2 กระปุก [LLAAD_02],฿399.00,28.9พัน, Life Supplements,41.5%,฿165.59,https://shopee.co.th/product/87657200/19445064776,https://s.shopee.co.th/6AU68ZxXVr
23058265996,[แพ็คสำหรับ 1 เดือน] Five Doctors Collagen Peptide EGCG Drink 6000mg มิลลิกรัมโมเลกุลขนาดเล็กปลาคอลลาเจนเปปไทด์กรดไฮยาลูโรนิกไวท์เทนนิ่งต่อต้านริ้วรอยเครื่องดื่มสนับสนุน Vitamin C Drink 50ml x 30 ขวด,"฿3,199.00",38,fivedoctors.th,36.5%,"฿1,167.64",https://shopee.co.th/product/1090679190/23058265996,https://s.shopee.co.th/5fXpXezRWm
23183765185,[แพ็คทดลอง 10 วัน] Five Doctors Collagen Peptide EGCG Drink 6000mg โมเลกุลขนาดเล็กปลาคอลลาเจนเปปไทด์กรดไฮยาลูโรนิกไวท์เทนนิ่งต่อต้านริ้วรอยเครื่องดื่มความงามคอลลาเจนอาหารเสริมคอลลาเจน 50ml x 10 ขวด,"฿1,099.00",40,fivedoctors.th,36.5%,฿401.14,https://shopee.co.th/product/1090679190/23183765185,https://s.shopee.co.th/5prFjxyoBp
9088472566,NAKIZ LIVELY SERUM - เวชสำอางค์ เพื่อน้องสาว / น้องมีกลิ่น คัน ตกขาว ไม่ฟิต แห้ง ผ่านการทดสอบการระคายเคือง,฿390.00,7พัน,Nakiz_Official,31.5%,฿122.85,https://shopee.co.th/product/63837360/9088472566,https://s.shopee.co.th/5Kuz930iCk
20279735555,"Merry Plant Protein โปรตีนพืช 5 ชนิด : โปรตีนสูง 35 กรัม ขนาด 2.3lb. / 1,050g. [ 20 Servings / กระปุก ]","฿1,090.00",5.9พัน,The Merry Life,31.5%,฿343.35,https://shopee.co.th/product/665834081/20279735555,https://s.shopee.co.th/5VEPLM04rn
1804230845,"ผ้าปิดตา ""หลับดี"" กลิ่นสมุนไพร",฿250.00,14,SOOKSHOP by Thai Health,31.5%,฿78.75,https://shopee.co.th/product/101772953/1804230845,https://s.shopee.co.th/7fItvKrpTE
22483764011,[แพ็คทดลอง 10 วัน] Five Doctors Collagen Peptide Vitamin C Drink  เครื่องดื่มคอลลาเจนเปปไทด์ วิตามินซี คอลลาเจนจากปลา โมเลกุลขนาดเล็ก 5000 mg. ขนาด 50ml x 10 ขวด,฿559.00,163,fivedoctors.th,26.5%,฿148.14,https://shopee.co.th/product/1090679190/22483764011,https://s.shopee.co.th/7pcK7drC8H
23983643497,[ซื้อ 1 กล่อง ฟรี 1 กล่อง] Five Doctors Collagen Peptide Vitamin C Drink  เครื่องดื่มคอลลาเจนเปปไทด์ วิตามินซี คอลลาเจนจากปลา โมเลกุลขนาดเล็ก 5000 mg. ขนาด 50ml x 20 ขวด,"฿1,049.00",47,fivedoctors.th,26.5%,฿277.99,https://shopee.co.th/product/1090679190/23983643497,https://s.shopee.co.th/7Kg3Wit69C
21585192231,[แพ็คสำหรับ 1 เดือน]  Five Doctors Collagen Peptide Vitamin C Drink  เครื่องดื่มคอลลาเจนเปปไทด์ วิตามินซี คอลลาเจนจากปลา โมเลกุลขนาดเล็ก 5000 mg. ขนาด 50ml x 30 ขวด,"฿1,649.00",85,fivedoctors.th,26.5%,฿436.99,https://shopee.co.th/product/1090679190/21585192231,https://s.shopee.co.th/7UzTj1sSoF
2720798164,Mix oil น้ำมันสกัดเย็น 11ชนิด 🌸อีเลฟเว่นออยล์,฿390.00,1.8พัน,สกินแคร์ Byพีช,26.5%,฿103.35,https://shopee.co.th/product/38275852/2720798164,https://s.shopee.co.th/703D86uMpA
20394320919,[แพ็คสำหรับ 50 วัน]  Five Doctors Collagen Peptide Vitamin C Drink  เครื่องดื่มคอลลาเจนเปปไทด์ วิตามินซี คอลลาเจนจากปลา โมเลกุลขนาดเล็ก 5000 mg. ขนาด 50ml x 50 ขวด,"฿2,899.00",1,fivedoctors.th,26.5%,฿768.24,https://shopee.co.th/product/1090679190/20394320919,https://s.shopee.co.th/7AMdKPtjUD
20822238893,Dr.Sleep - Sleep Helper อุปกรณ์ช่วยลดเสียงกรนแบบสอดจมูก  #dr.Sleep #นอนกรน #อุปกรณ์ช่วยลดเสียงกรน,฿88.00,11.5พัน,Dr.Sleep_official,21.5%,฿18.92,https://shopee.co.th/product/815633021/20822238893,https://s.shopee.co.th/6fQMjUvdV8
7356061336,OML Welly-T เสื้อพยุงหลัง เสริมแกนพยุงหลังคู่แบบยาว พยุงทั้งหลัง!! รับประกันสินค้า เข็มขัดพยุงหลัง ยินดีคืนเงิน ของแท้,฿315.00,19.1พัน,OML FITNESS,21.5%,฿67.73,https://shopee.co.th/product/309683462/7356061336,https://s.shopee.co.th/6pjmvnv0AB
17478865304,Dr.Sleep - Mouth Piece ยางครอบฟันลดอาการนอนกัดฟันขณะนอนหลับ,฿87.00,15พัน,Dr.Sleep_official,21.5%,฿18.71,https://shopee.co.th/product/815633021/17478865304,https://s.shopee.co.th/3fml9z73aa
18713001219,Sinocare เครื่องตรวจวัดระดับน้ำตาลในเลือด เครื่องตรวจน้ำตาล(เบาหวาน) รุ่น Safe Accu เครื่องตรวจ+เข็มเจาะ+แผ่น แม่นยำ100%,฿260.00,52.6พัน,Sinocare ซิโนแคร์ประเทศไทย,21.5%,฿55.90,https://shopee.co.th/product/791925750/18713001219,https://s.shopee.co.th/3q6BMI6QFd
26659919033,วีวีไอพี สุขภาพดีผิวสวยในราคาเดียว (จมูกข้าว 500g +โกโก้  200g +เซรั่ม 20ml.),"฿1,250.00",0,วีวีไอพี จมูกข้าว Official,21.5%,฿268.75,https://shopee.co.th/product/907303636/26659919033,https://s.shopee.co.th/3L9ulN8KGY
26209923413,วีวีไอพี สุขภาพดีผิวสวยในราคาเดียว (จมูกข้าว 500g +จมูกข้าว 200g +เซรั่ม 20ml.),"฿1,250.00",0,วีวีไอพี จมูกข้าว Official,21.5%,฿268.75,https://shopee.co.th/product/907303636/26209923413,https://s.shopee.co.th/3VTKxg7gvb
26060078309,วีวีไอพี สุขภาพดีผิวสวยในราคาเดียว (จมูกข้าว 500g +กาแฟ 200g +เซรั่ม 20ml.),"฿1,250.00",0,วีวีไอพี จมูกข้าว Official,21.5%,฿268.75,https://shopee.co.th/product/907303636/26060078309,https://s.shopee.co.th/30X4Ml9awW
23183739365,Hellosmile Zlipless earplugs ซิลิโคนอุดหู ที่อุดหู ลดเสียงรบกวน กันเสียง กันน้ำ ใช้ซ้ำได้ น้ำหนักเบา,฿55.00,5.2พัน,Shebiti Official Store,21.5%,฿11.83,https://shopee.co.th/product/1085706958/23183739365,https://s.shopee.co.th/3AqUZ48xbZ
22358246689,[สีฟ้า] HelloSmile Silicone earplugs ซิลิโคนอุดหู ที่อุดหู พรีเมี่ยม กันเสียง กันน้ำ ลดเสียงรบกวน ใช้ซ้ำได้,฿52.00,95,Shebiti Official Store,21.5%,฿11.18,https://shopee.co.th/product/1085706958/22358246689,https://s.shopee.co.th/2fuDy9ArcU
19694327978,[1แถม1 เฉพาะ L] HelloSmile | แผ่นแปะจมูก 1กล่อง/10 แผ่น,฿229.00,85,Shebiti Official Store,21.5%,฿49.24,https://shopee.co.th/product/1085706958/19694327978,https://s.shopee.co.th/2qDeASAEHX
20194319889,Hellosmile Floss Keychain Teeth Shape พวงกุญแจไหมขัดฟัน ไหมขัดฟัน ไหมขัดฟันพกพา จัดฟัน พวงกุญแจ 1ชิ้น,฿35.00,25,Shebiti Official Store,21.5%,฿7.53,https://shopee.co.th/product/1085706958/20194319889,https://s.shopee.co.th/50I8kR1ysy
16599241518,Hellosmile Premium Retainer Box กล่องรีเทนเนอร์พรีเมี่ยม จัดฟัน ฟันปลอม กล่องเครื่องประดับ พกพาสะดวก 1กล่อง,฿152.00,47,Shebiti Official Store,21.5%,฿32.68,https://shopee.co.th/product/1085706958/16599241518,https://s.shopee.co.th/5AbYwk1LY1
21390572423,[ส่งฟรี]THP Aloe Vera Extract สารสกัด ว่านหางจระเข้ ขนาด 30 แคปซูล🧡มีของแถมทุกออเดอร์🧡,฿299.00,24,PP_PHARMA,21.5%,฿64.29,https://shopee.co.th/product/14645798/21390572423,https://s.shopee.co.th/4ffILp3FYw
23058257558,[รุ่น Candy] Hellosmile Invisalign Aligner Chewies ชิววี่ ยางกัดจัดฟัน ยางกัดฟัน สำหรับคนจัดฟันใส จัดฟันใส,฿63.00,6,Shebiti Official Store,21.5%,฿13.55,https://shopee.co.th/product/1085706958/23058257558,https://s.shopee.co.th/4pyiY82cDz
19685385489,Hellosmile Aligner remover ที่ช่วยถอด aligner Invisalign ที่เกี่ยวยางฟัน รีเทนเนอร์ใส จัดฟันใส 1 ชิ้น,฿79.00,27,Shebiti Official Store,21.5%,฿16.99,https://shopee.co.th/product/1085706958/19685385489,https://s.shopee.co.th/4L2RxD4WEu
25061755771,RUNWAY HMB Plant Protein โปรตีนชะลอกล้ามเนื้อสลาย รส Malt โปรตีนพืชรันเวย์ โซเดียมต่ำ: เซ็ท 4 กล่อง,"฿3,590.00",31,Runway Official Store,21.5%,฿771.85,https://shopee.co.th/product/110724298/25061755771,https://s.shopee.co.th/4VLs9W3stx
26907268899,RUNWAY HMB Plant Protein โปรตีนชะลอกล้ามเนื้อสลาย รส Malt โปรตีนพืชรันเวย์ โซเดียมต่ำ 4 กล่อง,"฿3,390.00",5,Runway Official Store,21.5%,฿728.85,https://shopee.co.th/product/110724298/26907268899,https://s.shopee.co.th/40PbYb5mus
12775963004,ยาบรรเทาริดสีดวงทวาร 50 เม็ด พร้อมส่งทันที เก็บเงินปลายทาง,฿545.00,19.9พัน,Montra Herbal Offiical,19.5%,฿106.28,https://shopee.co.th/product/287723606/12775963004,https://s.shopee.co.th/4Aj1ku59Zv
25508915613,RUNWAY HMB Protein โปรตีนพืชชะลอกล้ามเนื้อสลาย โปรตีนพืช โซเดียมต่ำ รส Malt 1 กล่อง 7 ซอง,฿880.00,158,Runway Official Store,19.5%,฿171.60,https://shopee.co.th/product/110724298/25508915613,https://s.shopee.co.th/10lzz5HD0K
6487234393,Soy Protein Isolate ถั่วเหลือง ซอย โปรตีน ไอโซเลท Non Whey เวย์ ลดไขมัน เพิ่มกล้ามเนื้อ plant base,฿159.00,292.8พัน,MATELL,16.5%,฿26.24,https://shopee.co.th/product/82471280/6487234393,https://s.shopee.co.th/1B5QBOGZfN
9800328976,YES' Delight Gel เจลหล่อลื่น Water-based ให้ความลื่นที่ยาวนาน กลิ่น Romantic Scent ปริมาณ 300ml,฿119.00,141พัน,Yes Official,16.5%,฿19.64,https://shopee.co.th/product/345411985/9800328976,https://s.shopee.co.th/g99aTITgI
14294053534,A Fish🐟น้ำยาบ้วนปากแบบซองพกพา ขนาด11g ราคาขายต่อซอง มีหลายกลิ่น,฿1.00,127.2พัน,AFish.Home,16.5%,฿0.17,https://shopee.co.th/product/484452031/14294053534,https://s.shopee.co.th/qSZmmHqLL
20000545785,MATELL Plant-Based Protein Isolate แพลนต์เบสด์ ไอโซเลท โปรตีนพืช 7 ชนิด ลดน้ำหนัก เพิ่มกล้ามเนื้อ,฿335.00,96.3พัน,MATELL,16.5%,฿55.28,https://shopee.co.th/product/82471280/20000545785,https://s.shopee.co.th/LWJBrJkMG
9157561797,MATELL Mass Soy Protein Gainer 2 lb แมส ซอยโปรตีน 908 กรัม เพิ่มน้ำหนัก + เพิ่มกล้ามเนื้อ,฿235.00,72.2พัน,MATELL,16.5%,฿38.78,https://shopee.co.th/product/82471280/9157561797,https://s.shopee.co.th/VpjOAJ71J
21975090008,Whery well1แถม1 พร้อมส่ง!! โปรตีนไดเอท โปรตีนลดน้ำหนัก โปรตีนพืช เวย์โปรตีน เวย์ลดน้ำหนัก คุมน้ำหนัก,฿350.00,54.8พัน,WHERY WELL_OfflcialStore,16.5%,฿57.75,https://shopee.co.th/product/658882243/21975090008,https://s.shopee.co.th/tSnFL12E
18745699473,ผลิตภัณฑ์อาหารเสริม วีก้า VGA HERB บรรจุ 4 แคปซูล,฿228.00,43.7พัน,Seller Center,16.5%,฿37.62,https://shopee.co.th/product/522327561/18745699473,https://s.shopee.co.th/BCszYKNhH
6765721407,YES' Fancy Gel เจลหล่อลื่น Water-based สูตรแห้งช้า กลิ่นฟีโรโมน ปริมาณ 300ml,฿139.00,63.1พัน,Yes Official,16.5%,฿22.94,https://shopee.co.th/product/345411985/6765721407,https://s.shopee.co.th/2LHNZXC8Ii
23704741752,Gaabor ขายดี เครื่องชั่งน้ำหนักดิจิตอล แสดงอุณหภูมิชาร์จUSB เครื่องช่งน้ำหนักดิจิตอล รับได้180KG จอ LED (แถมสายชาร์จแล),฿199.00,23.4พัน,Gaabor Official Shop,16.5%,฿32.84,https://shopee.co.th/product/494855778/23704741752,https://s.shopee.co.th/2VanlqBUxl
19988212690,[ซื้อ 1 แถม 1] Tokoyo Night Ex Plus [Burner] I โตโกโย ไนท์ อีเอ็กซ์ พลัส สูตร เบิร์นเนอร์ [10 แคปซูล*2- รวม 20 แคปซูล],฿340.00,27.1พัน,Tokoyo ผลิตภัณฑ์ดูแลสุขภาพ,16.5%,฿56.10,https://shopee.co.th/product/738599224/19988212690,https://s.shopee.co.th/20eXAvDOyg
21169859788,คู่จิ้น ผิวดีX2 [แอสต้า1+น้ำมันองุ่น1]แคปซูลจากธรรมชาติ บำรุงร่างกาย ผิวพรรณ ชะลอวัย ผิวขาว ผิวดี ตราinzent,฿180.00,10.7พัน,INZENT_OFFICIAL,16.5%,฿29.70,https://shopee.co.th/product/9072405/21169859788,https://s.shopee.co.th/2AxxNECldj
