รหัสสินค้า,ชื่อสินค้า,ราคา,ขาย,ชื่อร้านค้า,อัตราค่าคอมมิชชัน,คอมมิชชัน,ลิงก์สินค้า,ลิงก์ข้อเสนอ
23624785285,Alsoff Ethyl Alcohol 70% 450 ml. แอลซอฟฟ์ แอลกอฮอล์ 70% 450 มล.,฿40.00,11.8พัน,trm_maskshop,101.5%,฿40.60,https://shopee.co.th/product/388007409/23624785285,https://s.shopee.co.th/1g1UtuItbm
8429901545,หมวกคลุมผม หมวกตัวหนอน (แพ็ค 50 ชิ้น),฿75.00,1.6พัน,trm_maskshop,101.5%,฿76.13,https://shopee.co.th/product/388007409/8429901545,https://s.shopee.co.th/1qKv6DIGGp
16123971399,Medtect หน้ากากอนามัยทางการแพทย์กรอง 3 ชั้น คละสี 5 สี,฿95.00,56,trm_maskshop,101.5%,฿96.43,https://shopee.co.th/product/388007409/16123971399,https://s.shopee.co.th/20eLIWHcvs
9815640941,Medtect หน้ากากอนามัยคาร์บอน 4 ชั้น,฿200.00,47,trm_maskshop,101.5%,฿203.00,https://shopee.co.th/product/388007409/9815640941,https://s.shopee.co.th/2AxlUpGzav
3596232798,หมวกคลุมผมตัวหนอนหลากสี,฿85.00,91,trm_maskshop,101.5%,฿86.28,https://shopee.co.th/product/388007409/3596232798,https://s.shopee.co.th/2LHBh8GMFy
9515822040,Namo หน้ากากอนามัยทางการแพทย์กรอง 3 ชั้น,฿120.00,62,trm_maskshop,101.5%,฿121.80,https://shopee.co.th/product/388007409/9515822040,https://s.shopee.co.th/2VabtRFiv1
8715827891,หน้ากากอนามัยคาร์บอนแท้ 100%,฿7.00,30,trm_maskshop,101.5%,฿7.11,https://shopee.co.th/product/388007409/8715827891,https://s.shopee.co.th/tGuqPEzY
16784771489,Gluta Grape Powder Zinc กลูต้าองุ่น ผิวนุ่ม เด้งใส ลดสิว ลดฝ้า รูขุมขนกระชับ ผิวเรียบเนียน 30 แคปซูล,฿290.00,1,NATARA BUSINESS ( OEM ),61.5%,฿178.35,https://shopee.co.th/product/290327594/16784771489,https://s.shopee.co.th/BCh79Obeb
22208352444,VAGY MULTI-HERBAL 30 Capsules แคปซูลกระชับจุดซ่อนเร้น ลดกลิ่น เสริมสร้างฮอร์โมนเพศหญิง 30 แคปซูล.,฿290.00,0,NATARA BUSINESS ( OEM ),61.5%,฿178.35,https://shopee.co.th/product/290327594/22208352444,https://s.shopee.co.th/LW7JSNyJe
22678716783,บาล์มเย็น หยดทอง สำหรับทาผิว คันยุงกัด แมลงกัดต่อย ลดผื่นคัน.มีปลายทาง🫧,฿39.00,3,SSZ.Cosmetic,52.5%,฿20.48,https://shopee.co.th/product/1062159568/22678716783,https://s.shopee.co.th/VpXVlNKyh
23053110553,M2M อาหารเสริมผู้ชาย รูปแบบเม็ดเคี้ยว รสช็อกโกแลต สำหรับท่านชาย (ส่งแบบปิดชื่อสินค้า),฿290.00,12.8พัน,bioticonfactory,51.5%,฿149.35,https://shopee.co.th/product/1062371696/23053110553,https://s.shopee.co.th/g8xi4Mhdk
8153743625,สเปรย์ชะลอการหลั่ง RADO ปลอดภัย ♻️มีเลขที่ อย.ระบุข้างกล่อง ( สินค้าล็อตการผลิตใหม่ ) ไม่ระบุชื่อสินค้าหน้ากล่อง,฿179.00,7.8พัน,ร้าน RAYS UP ช้อปผู้ผลิต,51.5%,฿92.19,https://shopee.co.th/product/139084385/8153743625,https://s.shopee.co.th/qSNuNM4In
25022512850,[โปร 2แถม1] M2M ผลิตภัณฑ์เสริมอาหารรูปแบบเม็ดเคี้ยว รสช็อกโกแลต 1ซองมี 6เม็ด (ส่งแบบปิดชื่อสินค้า),฿500.00,6.3พัน,bioticonfactory,51.5%,฿257.50,https://shopee.co.th/product/1062371696/25022512850,https://s.shopee.co.th/10lo6gLQxq
22441038799,"⚡️ ของแท้•ส่งด่วน•เข้ากลุ่มเทรนฟรี⚡️ Aki24 Aki plus(อะกิ24,อะกิพลัส) วิตามินลดอ้วนลดแขนขา",฿790.00,1.5พัน,Aki.official,51.5%,฿406.85,https://shopee.co.th/product/992767198/22441038799,https://s.shopee.co.th/1B5EIzKnct
23643964167,⚡️ของแท้•ส่งด่วน•เข้ากลุ่มเทรนฟรี⚡️ Aki24  1 เซ็ต,"฿1,480.00",131,Aki.official,51.5%,฿762.20,https://shopee.co.th/product/992767198/23643964167,https://s.shopee.co.th/9KQw1zpi3U
28951643943,[โปร 1ซองแถม1เม็ด] M2M ผลิตภัณฑ์เสริมอาหารรูปแบบเม็ดเคี้ยว  1ซองมี 6เม็ด (ส่งแบบปิดชื่อสินค้า),฿290.00,100,bioticonfactory,51.5%,฿149.35,https://shopee.co.th/product/1062371696/28951643943,https://s.shopee.co.th/9UkMEIp4iX
25414578471,M2M อาหารเสริมผู้ชาย รูปแบบเม็ดเคี้ยว รสช็อกโกแลต สำหรับท่านชาย,฿290.00,111,bioticonfactory,51.5%,฿149.35,https://shopee.co.th/product/1062371696/25414578471,https://s.shopee.co.th/9f3mQboRNa
23805995252,1แถม1โรสสเต็มเซลล์รกกุหลาบ🌹สกัดในเม็ดซอฟเจล กระตุ้นลึกถึงชั้นโครโมโซม Rose Stem Cell ย้อนวัย สู่ความอ่อนเยาว์ ใน 14 วัน,฿295.00,66,สกินแคร์ Byพีช,51.5%,฿151.93,https://shopee.co.th/product/38275852/23805995252,https://s.shopee.co.th/9pNCcuno2d
29906540940,Nutra Liv+bacto B เซ็ต 1 เดือน (bacto B 3 กล่อง + liv 3 กล่อง) โปรลีนหุ่น ตับสุขภาพดี,"฿1,850.00",11,Aki.official,51.5%,฿952.75,https://shopee.co.th/product/992767198/29906540940,https://s.shopee.co.th/9zgcpDnAhg
29502176353,Nutra Liv 1 กล่อง ผลิตภัณฑ์วิตามินบำรุงตับ สารสกัดที่ช่วยฟื้นฟูการทำงานของตับและลดไขมันสะสม,฿499.00,46,Aki.official,51.5%,฿256.99,https://shopee.co.th/product/992767198/29502176353,https://s.shopee.co.th/AA031WmXMj
