รหัสสินค้า,ชื่อสินค้า,ราคา,ขาย,ชื่อร้านค้า,อัตราค่าคอมมิชชัน,คอมมิชชัน,ลิงก์สินค้า,ลิงก์ข้อเสนอ
23624785285,Alsoff Ethyl Alcohol 70% 450 ml. แอลซอฟฟ์ แอลกอฮอล์ 70% 450 มล.,฿40.00,6.9พัน,trm_maskshop,101.5%,฿40.60,https://shopee.co.th/product/388007409/23624785285,https://s.shopee.co.th/7AMYzHOlXR
7979475144,Medtect หน้ากากอนามัยคาร์บอนแท้ 100% กรอง 6 ชั้น รุ่น TFS-150,฿12.00,1.5พัน,trm_maskshop,101.5%,฿12.18,https://shopee.co.th/product/388007409/7979475144,https://s.shopee.co.th/6fQIOMQfYM
8429901545,หมวกคลุมผม หมวกตัวหนอน (แพ็ค 50 ชิ้น),฿75.00,1.6พัน,trm_maskshop,101.5%,฿76.13,https://shopee.co.th/product/388007409/8429901545,https://s.shopee.co.th/6pjiafQ2DP
9915785971,Medtect หน้ากากอนามัยทางการแพทย์กรอง 3 ชั้น,฿89.00,562,trm_maskshop,101.5%,฿90.34,https://shopee.co.th/product/388007409/9915785971,https://s.shopee.co.th/6KnRzkRwEK
16411114805,หน้ากากอนามัย 3 ชั้น สีดำ,฿99.00,9,trm_maskshop,101.5%,฿100.49,https://shopee.co.th/product/388007409/16411114805,https://s.shopee.co.th/6V6sC3RItN
16123971399,Medtect หน้ากากอนามัยทางการแพทย์กรอง 3 ชั้น คละสี 5 สี,฿95.00,56,trm_maskshop,101.5%,฿96.43,https://shopee.co.th/product/388007409/16123971399,https://s.shopee.co.th/60Abb8TCuI
9815640941,Medtect หน้ากากอนามัยคาร์บอน 4 ชั้น,฿200.00,48,trm_maskshop,101.5%,฿203.00,https://shopee.co.th/product/388007409/9815640941,https://s.shopee.co.th/6AU1nRSZZL
8715827891,หน้ากากอนามัยคาร์บอนแท้ 100%,฿7.00,30,trm_maskshop,101.5%,฿7.11,https://shopee.co.th/product/388007409/8715827891,https://s.shopee.co.th/5fXlCWUTaG
8331481673,ผ้าปิด Cotton หรือ ผ้าปิดจมูกTC,฿29.00,0,trm_maskshop,101.5%,฿29.44,https://shopee.co.th/product/388007409/8331481673,https://s.shopee.co.th/5prBOpTqFJ
7996181127,MSAFE ผ้าปิดจมูกทางการแพทย์ ชนิดกรอง 3 ชั้น,฿89.00,17,trm_maskshop,101.5%,฿90.34,https://shopee.co.th/product/388007409/7996181127,https://s.shopee.co.th/5KuunuVkGE
3596232798,หมวกคลุมผมตัวหนอนหลากสี,฿85.00,91,trm_maskshop,101.5%,฿86.28,https://shopee.co.th/product/388007409/3596232798,https://s.shopee.co.th/5VEL0DV6vH
9515822040,Namo หน้ากากอนามัยทางการแพทย์กรอง 3 ชั้น,฿120.00,62,trm_maskshop,101.5%,฿121.80,https://shopee.co.th/product/388007409/9515822040,https://s.shopee.co.th/AKJal6Ci7E
22678716783,บาล์มเย็น หยดทอง สำหรับทาผิว คันยุงกัด แมลงกัดต่อย ลดผื่นคัน.มีปลายทาง🫧,฿39.00,3,SSZ.Cosmetic,52.5%,฿20.48,https://shopee.co.th/product/1062159568/22678716783,https://s.shopee.co.th/AUd0xPC4mH
14871646874,[Pack 2 ขวด] WELNAT อาหารเสริมบำรุงปอด - 60 แคปซูล - เสริมภูมิต้านทาน ป้องกันไวรัส สกัดจากธรรมชาติ,฿200.00,0,welnatofficial,51.5%,฿103.00,https://shopee.co.th/product/608103665/14871646874,https://s.shopee.co.th/9zgkMUDynC
11176555258,WELNAT อาหารเสริมบำรุงปอด - 60 แคปซูล - เสริมภูมิต้านทาน ป้องกันไวรัส สกัดจากธรรมชาติ-old,฿129.00,0,welnatofficial,51.5%,฿66.44,https://shopee.co.th/product/608103665/11176555258,https://s.shopee.co.th/AA0AYnDLSF
23053110553,M2M อาหารเสริมผู้ชาย รูปแบบเม็ดเคี้ยว รสช็อกโกแลต สำหรับท่านชาย (ส่งแบบปิดชื่อสินค้า),฿290.00,8.8พัน,bioticonfactory,51.5%,฿149.35,https://shopee.co.th/product/1062371696/23053110553,https://s.shopee.co.th/9f3txsFFTA
8153743625,สเปรย์ชะลอการหลั่ง RADO ปลอดภัย ♻️มีเลขที่ อย.ระบุข้างกล่อง ( สินค้าล็อตการผลิตใหม่ ) ไม่ระบุชื่อสินค้าหน้ากล่อง,฿179.00,7.8พัน,ร้าน RAYS UP ช้อปผู้ผลิต,51.5%,฿92.19,https://shopee.co.th/product/139084385/8153743625,https://s.shopee.co.th/9pNKABEc8D
25022512850,[โปร 2แถม1] M2M ผลิตภัณฑ์เสริมอาหารรูปแบบเม็ดเคี้ยว รสช็อกโกแลต 1ซองมี 6เม็ด (ส่งแบบปิดชื่อสินค้า),฿500.00,1.3พัน,bioticonfactory,51.5%,฿257.50,https://shopee.co.th/product/1062371696/25022512850,https://s.shopee.co.th/9KR3ZGGW98
22441038799,"⚡️ ของแท้•ส่งด่วน•เข้ากลุ่มเทรนฟรี⚡️ Aki24 Aki plus(อะกิ24,อะกิพลัส) วิตามินลดอ้วนลดแขนขา",฿790.00,1.6พัน,Aki.official,51.5%,฿406.85,https://shopee.co.th/product/992767198/22441038799,https://s.shopee.co.th/9UkTlZFsoB
23643964167,⚡️ของแท้•ส่งด่วน•เข้ากลุ่มเทรนฟรี⚡️ Aki24  1 เซ็ต,"฿1,480.00",134,Aki.official,51.5%,฿762.20,https://shopee.co.th/product/992767198/23643964167,https://s.shopee.co.th/8zoDAeHmp6
