รหัสสินค้า,ชื่อสินค้า,ราคา,ขาย,ชื่อร้านค้า,อัตราค่าคอมมิชชัน,คอมมิชชัน,ลิงก์สินค้า,ลิงก์ข้อเสนอ
25924096198,เสื้อเชิ้ตคอเต่า ผ้าชีฟอง แขนบาน ทรงหลวม สําหรับผู้หญิง,"฿1,107.00",0,yylucky.th,62%,฿686.34,https://shopee.co.th/product/961794173/25924096198,https://s.shopee.co.th/2qDaeg8g6B
28509153377,New Fashionable Pleated High Waist Skirt Spring and Autumn Lace Women2024Graceful Bow Short SkirtaWords AKAC,฿275.00,0,TENVI Official Shop,51.5%,฿141.63,https://shopee.co.th/product/1254690298/28509153377,https://s.shopee.co.th/50I5Ef0Qhc
27865790490, Vacation Style Knitted Cardigan Small Shawl Blouse Lace with Skirt Thin Tassel Spring and Autumn Retro Ethnic Women's Outer Wear DWSW,฿127.00,0,TENVI Official Shop,51.5%,฿65.41,https://shopee.co.th/product/1254690298/27865790490,https://s.shopee.co.th/5AbVQxznMf
27615795307, Scarf Keep Warm Pure Color Long Woven Wire Mesh Red Style All-Matching Women's Cashmere Autumn and Winter Shoulder-Matching Star Same Style Wool Extra Thick OXQB,฿273.00,0,TENVI Officials Shop,51.5%,฿140.60,https://shopee.co.th/product/1254693301/27615795307,https://s.shopee.co.th/4ffEq31hNa
27856750414,Lazy Design Sense Draping Casual Mopping Loose American Summer Retro Women's Wide-Leg Overalls Trousers Pocket C0SL,฿366.00,1,TENVI Officials Shop,51.5%,฿188.49,https://shopee.co.th/product/1254693301/27856750414,https://s.shopee.co.th/4pyf2M142d
26865790415, Pants Bag hiphop Hip Hop Kerchief Fashion Brand Paisley Pendant Towel Street Square Waist Chain Men and Women Phants Zipper Waist Scarf 9P6E,฿182.00,0,TENVI Officials Shop,51.5%,฿93.73,https://shopee.co.th/product/1254693301/26865790415,https://s.shopee.co.th/4L2ORR2y3Y
27465790466, Spring and Autumn Clothing Winter Neck Protection70x70Silk Scarf Work Scarf Turtleneck Small Square Towel Thin Shirt for Women 0BXL,฿82.00,0,TENVI Officials Shop,51.5%,฿42.23,https://shopee.co.th/product/1254693301/27465790466,https://s.shopee.co.th/4VLodk2Kib
29115785604, Square Scarf Hip-Hop Scarf One Free Pure Cotton Hair Band]Korean fashion[hiphop2Headscarf Hip Hop Paisley Headscarf JWBP,฿73.00,0,TENVI Officials Shop,51.5%,฿37.60,https://shopee.co.th/product/1254693301/29115785604,https://s.shopee.co.th/40PY2p4EjW
27215783277, Sweet Cool Niche Tie-Dyed Baotou Silver Hot Girl Cool Gradient Original Female insy2k Scarf Vintage Scarf IFJG,฿101.00,0,TENVI Officials Shop,51.5%,฿52.02,https://shopee.co.th/product/1254693301/27215783277,https://s.shopee.co.th/4AiyF83bOZ
29209235589,Loose Hollow Contrast Color Fashion All-Match Short Niche Sweet Spicy Striped Thin Sweater Commuter Spring Women's Long Sleeve MG4F,฿168.00,0,RL Offcial Shop,51.5%,฿86.52,https://shopee.co.th/product/1203185550/29209235589,https://s.shopee.co.th/10lwTJFeoy
