รหัสสินค้า,ชื่อสินค้า,ราคา,ขาย,ชื่อร้านค้า,อัตราค่าคอมมิชชัน,คอมมิชชัน,ลิงก์สินค้า,ลิงก์ข้อเสนอ
25873726460,KP-มาใหม่เสื้อยืดแขนสั้นผู้ชาย 2021 เทรนด์ใหม่ฤดูร้อนหลวมผ้าฝ้ายด้านบนเสื้อผ้า bottoming เสื้อผู้ชายด้านหลังสกรีนสไตล์เก,฿190.00,9,phyupay867,103%,฿195.70,https://shopee.co.th/product/901880347/25873726460,https://s.shopee.co.th/7fIr5mKMJE
25973722945,KP-มาแรงเสื้อยืดแขนสั้นผู้ชาย 2024 เทรนด์ใหม่ฤดูร้อนหลวมผ้าฝ้ายด้านบนเสื้อผ้า bottoming เสื้อผู้ชาย,฿190.00,4,phyupay867,103%,฿195.70,https://shopee.co.th/product/901880347/25973722945,https://s.shopee.co.th/7pcHI5JiyH
24673732791,KP-เสื้อยืดแขนสั้นผู้ชาย 2024 เทรนด์ใหม่ฤดูร้อนหลวมผ้าฝ้ายด้านบนเสื้อผ้า bottoming เสื้อผู้ชายด้านหลังสกรีนสไตล์,฿190.00,3,phyupay867,103%,฿195.70,https://shopee.co.th/product/901880347/24673732791,https://s.shopee.co.th/7Kg0hALczC
24373733613,KP-เสื้อยืดแขนสั้นผู้ชาย 2021 เทรนด์ใหม่ฤดูร้อนหลวมผ้าฝ้ายด้านบนเสื้อผ้า bottoming เสื้อผู้ชาย,฿190.00,1,phyupay867,103%,฿195.70,https://shopee.co.th/product/901880347/24373733613,https://s.shopee.co.th/7UzQtTKzeF
21332116394,เสื้อมีฮู้ด เสื้อคลุมแขนยาว รุ่น H3,฿179.00,192,HoodLipstick-Shop,100%,฿179.00,https://shopee.co.th/product/38193986/21332116394,https://s.shopee.co.th/703AIYMtfA
27704358888,PinkTT-shirt Top Men's High Street Undershirt Sleeveless Summer Casual Couple Suede Heavy Vest Waistcoat Fashion Brand FBKB,฿278.00,3,TENVI Officials Shop,100%,฿278.00,https://shopee.co.th/product/1254693301/27704358888,https://s.shopee.co.th/7AMaUrMGKD
26106734615,Summer Short Sleeve CoupleTT-shirt Half Sleeve2024American Versatile New Trendy White High Street Men's Thin Loose TFXZ,฿194.00,3,TENVI Officials Shop,100%,฿194.00,https://shopee.co.th/product/1254693301/26106734615,https://s.shopee.co.th/6fQJtwOAL8
27060909710,เสื้อกั๊กผู้ชายออกกําลังกายฤดูร้อนวิ่งด้ายบางแขนกุดออกกําลังกายแน่นทีเสื้อสําหรับผู้ชาย,฿49.00,15,Auroro,100%,฿49.00,https://shopee.co.th/product/413376102/27060909710,https://s.shopee.co.th/6pjk6FNX0B
29606754594,Men's Printed Shirt Hawaii Beach Coat American Summer Pu Shuai Ice Silk Short Sleeve Shirt High Sense Retro Fashion Brand 1N1B,฿386.00,1,TENVI Officials Shop,100%,฿386.00,https://shopee.co.th/product/1254693301/29606754594,https://s.shopee.co.th/6KnTVKPR16
28956744902,Bear New Chinese Style National Style Summer Fashion Brand Baggy Coat Shirt Men's Shirt Short Sleeve Couple Embroidery Trend Casual RX6V,฿285.00,2,TENVI Officiaal Shop,100%,฿285.00,https://shopee.co.th/product/1254694523/28956744902,https://s.shopee.co.th/6V6thdOng9
26515779705, Outer Expansion Nude Pure Desire Underwear Comes with Inner Wear to Show Spaghetti-Strap Padded Bottoming Vest Sweet bra Slimming Sexy Waist PSSO,฿101.00,0,TENVI Official Shop,100%,฿101.00,https://shopee.co.th/product/1254690298/26515779705,https://s.shopee.co.th/60Ad6iQhh4
27209162781,Sports Stitching Ankle-Tied Casual Pants Sweatpants Chinese Style Bear Trendy Men's Summer Loose Spring and Autumn Embroidered Trousers JNUU,฿264.00,0,TENVI Official Shop,100%,฿264.00,https://shopee.co.th/product/1254690298/27209162781,https://s.shopee.co.th/6AU3J1Q4M7
28559162805,American Ripped Pants JeansulzzangLoose High Street Thin Straight Men's Fashion Brand Retro Black Summer XMXW,฿305.00,0,TENVI Official Shop,100%,฿305.00,https://shopee.co.th/product/1254690298/28559162805,https://s.shopee.co.th/5fXmi6RyN2
26815795240, Korean Shipping Men's Knitted Hat Thickened Fleece-lined48]New Youth Winter Warm Hat Woolen Cap Sleeve Cap Cold-Proof[ 8OPE,฿137.00,0,TENVI Official Shop,100%,฿137.00,https://shopee.co.th/product/1254690298/26815795240,https://s.shopee.co.th/5prCuPRL25
26665790431, Male Hat Cold-Proof Warm with Velvet Winter Men's Cotton-Padded Cap Cycling Knitted Korean Woolen Hat Trendy Thickened Autumn and Winter AFSE,฿164.00,0,TENVI Official Shop,100%,฿164.00,https://shopee.co.th/product/1254690298/26665790431,https://s.shopee.co.th/5KuwJUTF30
27256729901,Ice SilkpoloShirt Men's Spring and Summer ]Send[Breathable Short Sleeve Seamless High-GradeTHigh-End T-shirt ZLYQ,฿285.00,1,TENVI Officials Shop,100%,฿285.00,https://shopee.co.th/product/1254693301/27256729901,https://s.shopee.co.th/5VEMVnSbi3
27115783279, Korean Hat Cold-Proof Warm Wool Youth Fleece-lined Men's Knitted Hat Hat Trendy Ear Protection Men's Winter Cotton-Padded Cap MRID,฿82.00,0,TENVI Officials Shop,100%,฿82.00,https://shopee.co.th/product/1254693301/27115783279,https://s.shopee.co.th/AKJcGgACu0
29915795275, Winter Beanie Hat Bucket Hat Fashion Woolen Hat Hat Men's Winter Men's Big Head Circumference Knitted Hat Warm Fisherman Hat 1X2K,฿164.00,0,TENVI Officials Shop,100%,฿164.00,https://shopee.co.th/product/1254693301/29915795275,https://s.shopee.co.th/AUd2Sz9ZZ3
28303338257,Shirt Ruoshuai Draping Men's Hawaiian Summer Light Luxury Shirt Men's Thin Hollow Trendy French Short Sleeve TZ3D,฿315.00,0,RL Offcial Shop,100%,฿315.00,https://shopee.co.th/product/1203185550/28303338257,https://s.shopee.co.th/9zgls4BTZy
28303338227,Men's SummersizeFashion Short Sleeve plus SizeTT-shirt Suede Retro Easy MatchingoverHeavy Casual Top Fashion Brand HZWQ,฿157.00,0,RL Offcial Shop,100%,฿157.00,https://shopee.co.th/product/1203185550/28303338227,https://s.shopee.co.th/AA0C4NAqF1
